enc,codigo,cliente,descricao,quantidadeProducao,quantidadePicada,qrCode
ENC-A-2251910,A19AR0000831789A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Armário Suspenso c/Portas Correr 100x45x80cm - (Me)Branco/R9016,10,,
ENC-A-2251910,A10ATB1616S0A77A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,"Balcão Atlantic ""U4"" Alonga + Alçado 160x160x74-110cm - (Me)Cinza Claro/R7021",1,,
ENC-A-2251910,A10LBTBC10S1BQ8A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Bancada Central Indep.150x150x90cm - (Fe)Branco/(Me)Branco/R7021,4,,
ENC-A-2251910,A19ZZ0000061429A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Carro Transporte 93.4x47.5x98cm - Inox,5,,
ENC-A-2251910,A10HT12000S0662A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Mesa c/Tampo Rebatível c/Rodas 20x80x74cm - (Me)Branco/R7021,6,,
ENC-A-2251910,A10LBTMG04S1319A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Módulo Inferior Rodado 4G 60x47x80cm - (Me)Branco,30,,
ENC-A-2251910,A10LBTMG04S1319A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Módulo Inferior Rodado 4G 60x47x80cm - (Me)Branco,10,,
ENC-A-2251910,A19BA0000184319A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Módulo Inferior Rodado c/ 1 Porta 60x47x80cm - (Me)Branco,30,,
ENC-A-2251910,A10ERSVG50S0V38A,AGRUPAMENTO DE ESCOLAS 4 DE OUTUBRO,Viga 5 Lugares ERGOS SHELL 243x51x81cm - (P)406/R7021,4,,
ENC-A-2260009,A10ERGOS02S0R24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)2169C,5,,
ENC-A-2260009,A10ERGOS02S0R24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)2169C,2,,
ENC-A-2260009,A10ERGOS02S0R24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)2169C,2,,
ENC-A-2260009,A10ERGOS02S0R24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)2169C,2,,
ENC-A-2260009,A10ERGOS02S0Q48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)406,4,,
ENC-A-2260009,A10ERGOS02S0Q48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)406,1,,
ENC-A-2260009,A10ERGOS02S0Q48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)406,2,,
ENC-A-2260009,A10ERGOS02S0Q47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)623,5,,
ENC-A-2260009,A10ERGOS02S0Q47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)623,2,,
ENC-A-2260009,A10ERGOS02S0Q47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)623,2,,
ENC-A-2260009,A10ERGOS02S0Q47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)623,2,,
ENC-A-2260009,A10ERGOS02S0R23A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)692,4,,
ENC-A-2260009,A10ERGOS02S0R23A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)692,1,,
ENC-A-2260009,A10ERGOS02S0R23A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)692,1,,
ENC-A-2260009,A10ERGOS02S0R23A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 02 - 30x36x31cm - (P)692,2,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 - 42x39.5x35cm - (P)406,7,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 - 42x39.5x35cm - (P)406,2,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 - 42x39.5x35cm - (P)406,3,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 - 42x39.5x35cm - (P)406,4,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 - 42x39.5x35cm - (P)406,3,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 - 42x39.5x35cm - (P)406,4,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 - 42x39.5x35cm - (P)406,5,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,7,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,3,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,1,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,5,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,6,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,3,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,4,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,4,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,6,,
ENC-A-2260009,A10ERGOS03SNR24A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)2169C,3,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)406,6,,
ENC-A-2260009,A10ERGOS03SNQ48A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)406,4,,
ENC-A-2260009,A10ERGOS03SNQ47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)623,7,,
ENC-A-2260009,A10ERGOS03SNQ47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)623,3,,
ENC-A-2260009,A10ERGOS03SNQ47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)623,1,,
ENC-A-2260009,A10ERGOS03SNQ47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)623,5,,
ENC-A-2260009,A10ERGOS03SNQ47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)623,6,,
ENC-A-2260009,A10ERGOS03SNQ47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)623,3,,
ENC-A-2260009,A10ERGOS03SNQ47A,MUNICIPIO DE CHAMUSCA,Cadeira ERGOS 03 42x39.5x35cm - (P)623,4,,
